average_rating,brand,category,id,name,price,primary_category,sold,total_rating,url
4.8,Cao Minh,Nhà Sách Tiki,109017987,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",122000,Sách tiếng Việt,5000+,5437,https://tiki.vn/thien-tai-ben-trai-ke-dien-ben-phai-tai-ban-p109017985.html?
4.8,Lê Bảo Ngọc,Nhà Sách Tiki,189643110,Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt,83000,Sách tiếng Việt,5000+,1443,https://tiki.vn/khong-phai-soi-nhung-cung-dung-la-cuu-tang-kem-bookmark-2-mat-p189643105.html?
4.8,Universe,Nhà Sách Tiki,188940819,Vị Thần Của Những Quyết Định,47900,Sách tiếng Việt,5000+,1167,https://tiki.vn/vi-than-cua-nhung-quyet-dinh-p188940817.html?
4.8,Tống Mặc,Nhà Sách Tiki,26114400,"Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh",59000,Sách tiếng Việt,5000+,7214,https://tiki.vn/nong-gian-la-ban-nang-tinh-lang-la-ban-linh-p26114399.html?
5.0,,Nhà Sách Tiki,193530141,Combo 2 Cuốn Sách Về Thiền: Thực Hành Thiền Định + Thiền - Osho,188500,Sách tiếng Việt,9,1,https://tiki.vn/combo-2-cuon-sach-ve-thien-thuc-hanh-thien-dinh-thien-osho-p193530140.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.161727_Y.1742540_Z.3110712_CN.%5Bauto%5D-Thien-%2F-ton-giao-1&itm_medium=CPC&itm_source=tiki-ads&
5.0, Thích Nhất Hạnh,Nhà Sách Tiki,263065483,Trong Cái Không Có Gì Không?,147216,Sách tiếng Việt,40,1,https://tiki.vn/trong-cai-khong-co-gi-khong-p204083235.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.252438_Y.1834758_Z.3771794_CN.Trong-Cai-Khong-Co-Gi-Khong-%2A&itm_medium=CPC&itm_source=tiki-ads&
5.0,,Nhà Sách Tiki,180720234,Combo 2Q: Nếu Biết Trăm Năm Là Hữu Hạn (Ấn Bản Đặc Biệt) + Kiếp Người - Vĩnh Cửu Và Vô Thường ,320500,Sách tiếng Việt,12,2,https://tiki.vn/combo-2q-neu-biet-tram-nam-la-huu-han-an-ban-dac-biet-kiep-nguoi-vinh-cuu-va-vo-thuong-p180720233.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.142171_Y.1446358_Z.2468516_CN.Combo-2Q%3A-Neu-Biet-Tram-Nam-La-Huu-Han-%28An-Ban-%C4%90ac-Biet%29-%2B-Kiep-Nguoi---Vinh-Cuu-Va-Vo-Thuong-&itm_medium=CPC&itm_source=tiki-ads&
5.0,Thái Bá Tân,Nhà Sách Tiki,8496100,Cổ Tích Việt Nam Bằng Thơ (Ấn Bản Kỉ Niệm 60 Năm NXB Kim Đồng),113232,Sách tiếng Việt,19,1,https://tiki.vn/co-tich-viet-nam-bang-tho-an-ban-ki-niem-60-nam-nxb-kim-dong-p601472.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.161727_Y.1742544_Z.3110756_CN.Truyen-Co-Tich-%2F-%2A-chua-chay-0608-2022-%2A-p1-2&itm_medium=CPC&itm_source=tiki-ads&
5.0,José Mauro de Vasconcelos,Nhà Sách Tiki,74021318,Cây Cam Ngọt Của Tôi,75500,Sách tiếng Việt,5000+,13314,https://tiki.vn/cay-cam-ngot-cua-toi-p74021317.html?
5.0,Phạm Hằng Nguyên,Nhà Sách Tiki,80873636,How The Body Works - Hiểu Hết Về Cơ Thể,252960,Sách tiếng Việt,117,17,https://tiki.vn/how-the-body-works-hieu-het-ve-co-the-p23416722.html?itm_campaign=CTP_YPD_TKA_PLA_UNK_ALL_UNK_UNK_UNK_UNK_X.30627_Y.230435_Z.606356_CN.How-The-Body-Works---Hieu-Het-Ve-Co-The&itm_medium=CPC&itm_source=tiki-ads&
